station,lat,long,gridReference,stationReference,northing,easting,river,Waterbody ID,Distance,River basin district,Management catchment,Operational catchment,water body,Water body type,Easting,Northing,Ngr
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00000004,51.416663,-3.041654,None,MD-00000004,169143,327659,None,GB530905415401,5094.750729918001,Severn,Wye MC TraC,Severn Lower,SEVERN LOWER,TransitionalWater,330553,173336,ST3055373336
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00000009,51.507663,-2.923327,None,MD-00000009,179153,336015,None,GB109056026810,6493.862102016026,Severn,Usk,East Reens,Monks Ditch - Wainbridge to mouth,River,340717,183632,ST4071783632
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00001070,51.59035,-2.687575,None,MD-00001070,188169,352463,None,GB40901G202700,3309.6298886733543,Severn,Severn England GW,Severn Vale/ Wye - Carboniferous Limestone Forest of Dean (North),Severn Vale/ Wye - Carboniferous Limestone Forest of Dean,GroundWaterBody,354838,190474,ST5483890474
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00001720,51.634971,-2.637143,None,MD-00001720,193100,356000,None,GB40901G202700,2871.605822532055,Severn,Severn England GW,Severn Vale/ Wye - Carboniferous Limestone Forest of Dean (North),Severn Vale/ Wye - Carboniferous Limestone Forest of Dean,GroundWaterBody,354838,190474,ST5483890474
http://environment.data.gov.uk/water-quality/id/sampling-point/SW-B0010601,51.608108,-2.616261,None,SW-B0010601,190100,357420,None,GB40901G202700,2608.9461473936176,Severn,Severn England GW,Severn Vale/ Wye - Carboniferous Limestone Forest of Dean (North),Severn Vale/ Wye - Carboniferous Limestone Forest of Dean,GroundWaterBody,354838,190474,ST5483890474
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00004505,51.69974,-2.541106,None,MD-00004505,200250,362700,None,GB109054032530,605.9042828698275,Severn,Severn Vale,Forest of Dean,Warth Bk - source to R Severn Estuary,River,362096,200202,SO6209600202
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00004825,51.711916,-2.532857,None,MD-00004825,201600,363280,None,GB109054032530,1832.0098253011636,Severn,Severn Vale,Forest of Dean,Warth Bk - source to R Severn Estuary,River,362096,200202,SO6209600202
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00004829,51.712904,-2.533158,None,MD-00004829,201710,363260,None,GB109054032530,1904.9829395561526,Severn,Severn Vale,Forest of Dean,Warth Bk - source to R Severn Estuary,River,362096,200202,SO6209600202
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00203410,51.714974,-2.552144,None,MD-00203410,201950,361950,None,GB109054032530,1754.0866569243378,Severn,Severn Vale,Forest of Dean,Warth Bk - source to R Severn Estuary,River,362096,200202,SO6209600202
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00004720,51.686808,-2.517807,None,MD-00004720,198800,364300,None,GB530905415402,847.2290127232424,Severn,Severn England TraC,Severn River and Tributaries Estuary,SEVERN MIDDLE,TransitionalWater,363746,199441,ST6374699441
http://environment.data.gov.uk/water-quality/id/sampling-point/SW-B0011001,51.693556,-2.495893,None,SW-B0011001,199540,365820,None,GB530905415402,2076.361481052854,Severn,Severn England TraC,Severn River and Tributaries Estuary,SEVERN MIDDLE,TransitionalWater,363746,199441,ST6374699441
http://environment.data.gov.uk/water-quality/id/sampling-point/SW-B0011101,51.709973,-2.483337,None,SW-B0011101,201360,366700,None,GB530905415402,3522.595208081678,Severn,Severn England TraC,Severn River and Tributaries Estuary,SEVERN MIDDLE,TransitionalWater,363746,199441,ST6374699441
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00006780,51.738948,-2.477419,None,MD-00006780,204580,367130,None,GB109054032560,3080.0449672042128,Severn,Severn Vale,Forest of Dean,Cinderford Bk conf Blackpool Bk to Severn Estuary,River,368856,207131,SO6885607131
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00007320,51.744678,-2.461112,None,MD-00007320,205210,368260,None,GB109054032560,2011.3321456189178,Severn,Severn Vale,Forest of Dean,Cinderford Bk conf Blackpool Bk to Severn Estuary,River,368856,207131,SO6885607131
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00007482,51.756777,-2.470942,None,MD-00007482,206560,367590,None,GB109054032560,1388.8113622807095,Severn,Severn Vale,Forest of Dean,Cinderford Bk conf Blackpool Bk to Severn Estuary,River,368856,207131,SO6885607131
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00007489,51.757048,-2.470655,None,MD-00007489,206590,367610,None,GB109054032560,1358.3802854870944,Severn,Severn Vale,Forest of Dean,Cinderford Bk conf Blackpool Bk to Severn Estuary,River,368856,207131,SO6885607131
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00009910,51.786897,-2.447915,None,MD-00009910,209900,369200,None,GB109054032560,2790.2861860389876,Severn,Severn Vale,Forest of Dean,Cinderford Bk conf Blackpool Bk to Severn Estuary,River,368856,207131,SO6885607131
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00769700,51.758051,-2.467189,None,MD-00769700,206700,367850,None,GB109054032560,1094.439125762598,Severn,Severn Vale,Forest of Dean,Cinderford Bk conf Blackpool Bk to Severn Estuary,River,368856,207131,SO6885607131
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00007310,51.736695,-2.456252,None,MD-00007310,204320,368590,None,GB109054032540,2343.3909191596695,Severn,Severn Vale,Frome and Cam,Gilgal Bk - source to Severn R Estuary,River,370899,203920,SO7089903920
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00007336,51.737512,-2.454233,None,MD-00007336,204410,368730,None,GB109054032540,2223.6593713966176,Severn,Severn Vale,Frome and Cam,Gilgal Bk - source to Severn R Estuary,River,370899,203920,SO7089903920
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00597150,51.720213,-2.415263,None,MD-00597150,202470,371410,None,GB109054032540,1537.4072329737492,Severn,Severn Vale,Frome and Cam,Gilgal Bk - source to Severn R Estuary,River,370899,203920,SO7089903920
http://environment.data.gov.uk/water-quality/id/sampling-point/MD-00011350,51.81716,-2.433708,None,MD-00011350,213260,370200,None,GB30940714,4243.7023929583,Severn,Severn Vale,Forest of Dean,Soudley Ponds,Lake,366257,211691,SO6625711691
